id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
09a20d41-4c38-4857-9b36-342174bb3140,homes.immobilien,available,14.99,,high,low,5,name.com,,
e3b284a1-6968-42c1-9384-cef5e2f33397,agents.villas,available,19.99,,medium,medium,6,name.com,,
4a5ca9d1-2407-422d-bfd7-7e0a42fb5c79,homes.maison,resell,,,high,low,5,"GoDaddy.com, LLC",19/06/2020 03:42,19/06/2026 03:42
ff857a7e-1342-470e-a820-eff61daa2c52,fees.realty,available,109.99,299,medium,low,4,namesilo,,
94d20bec-a501-496e-8cf2-a647a834d871,fees.apartments,available,19.99,,medium,low,4,name.com,,
5bf5c6cb-678b-4050-8997-6bc7abd4e50a,fees.villas,available,19.99,,medium,low,4,name.com,,
94c66c90-c0bc-4d0f-ab9f-c5c058ec5f6d,apartments.immobilien,premium,118.8,118.8,medium,low,10,namesilo,,
9bf084f3-be96-4a99-992f-98f9e17583a5,houses.maison,available,19.99,,medium,low,6,name.com,,
dd387ccd-5d76-4e60-b9fb-f762514224bd,fees.house,available,27.99,,medium,low,4,name.com,,
6dd02541-9bb3-451d-a987-b43a690d6281,fees.condos,available,71.99,,medium,low,4,name.com,,
48e9e352-7bf1-4638-8818-78888f2f1261,apartments.land,premium,118.8,118.8,medium,low,10,namesilo,,
59520a5c-8294-4529-8161-32238bba5efb,lists.immobilien,available,14.99,,medium,low,5,name.com,,
5e83e302-651c-481f-a015-9fd48f1a8a5e,holdings.condos,premium,123.75,,medium,low,8,name.com,,
986261d5-c4b4-48bf-8740-23e6ebd5e866,agents.place,resell,,,medium,medium,6,"Sav.com, LLC",25/02/2026 17:01,25/02/2027 17:01
b3a8a90e-24c1-4588-bf5c-2f367835e711,lists.house,available,27.99,,medium,low,5,name.com,,
9a638f7e-f070-4eec-805f-dcfcd3da4d86,apartments.immo,premium,78.54,78.54,medium,low,10,namesilo,,
40e65afc-2140-4ae6-a6d6-58926e658d80,mortgages.house,available,27.99,,medium,low,9,name.com,,
96a065c6-2324-45ba-b119-f7f342c0150b,mortgages.estate,available,14.99,,medium,low,9,name.com,,
59a1c5e7-2a61-4b86-9177-b58d3b468efd,lists.maison,available,19.99,,medium,low,5,name.com,,
8b5afcff-173b-4e75-9f7a-9ca35b19b856,lists.rentals,available,14.99,,medium,low,5,name.com,,
586b5511-7b4e-4d6b-83cf-8bc6d455a767,fees.immo,available,14.99,,medium,low,4,name.com,,
f0cc52c9-78e0-45cc-825b-75bf94d4a02c,lists.land,available,19.99,,medium,low,5,name.com,,
6be2d6a5-d8fb-4358-a549-b4e253b80d73,homes.management,premium,500,,high,low,5,name.com,,
55c8db20-0cd8-4870-9dab-b6bd5ba18aa3,homes.flights,premium,123.75,,high,low,5,name.com,,
430ea07b-58c1-4681-b3f8-ad72d7f2bea7,apartments.realty,premium,7875,,medium,low,10,name.com,,
830ff40d-6850-4d74-b3ef-38709e5a42b1,homes.berlin,premium,2025.8,2025.8,high,low,5,namecheap,,
f6f0f635-4a4f-4bdb-a1e2-17a1a305e45e,homes.one,premium,625,,high,low,5,name.com,,
e0d389e7-5d7f-4e3c-89cf-7d6f11130303,homes.ing,premium,812.5,,high,low,5,name.com,,
